0,SteveDaines,The honor was all mine Kandi is an amazing representative of and our great state MontanaProud,0.7000000000000001,"['kandi', 'amazing representative', 'great state', 'montanaproud']",R,Montana 
584,RepDavid,This Wednesday my District Office team will be holding Mobile Office Hours in AZ06 If you have any questions regarding federal casework be sure to stop by Feb 12th 11 00 am 1 00 pm City of Phoenix Cholla Public Library 10050 Metro Pkwy E Phoenix AZ,0.25,"['district office team', 'mobile', 'office hours', 'az06', 'federal casework', 'feb', 'pm city', 'phoenix cholla', 'public library', 'metro pkwy e phoenix az']",R,Arizona
585,RepRubenGallego, The destructive TrumpBudget goes after working families amp breaks the President s promises to the American people,-0.3,"['trumpbudget', 'families amp', 'president s', 'american people']",D,Arizona
586,RepRubenGallego,The President is directing a lighter sentence for his friend That s corruption pure and simple,0.10714285714285714,"['lighter sentence', 's corruption']",D,Arizona
587,RepRubenGallego,Stars amp Stripes was a link to home when I was in Iraq and Okinawa It s an A indie take on everyday DoD news f ups and Administration amp General Officer BS No wonder this President wants to cut it He s got a fight on his hands,0.012500000000000004,"['iraq', 'okinawa', 'dod', 'news f ups', 'administration amp', 'general officer', 'bs']",D,Arizona
588,RepRubenGallego, Rep Ruben Gallego D Arizona Chair of House Subcommittee for Indigenous Peoples of the United States announces Bridging th,0.0,"['rep ruben gallego d arizona chair', 'subcommittee', 'indigenous peoples', 'bridging']",D,Arizona
589,RepRubenGallego, Speaking to tribal leaders at ECWS2020 spoke of the importance of working with tribal nations to defend sa,0.0,"['tribal leaders', 'ecws2020', 'tribal nations']",D,Arizona
590,RepDLesko, A lack of REALID compliance among travelers could harm the US aviation system a major pillar of the national economy,0.0625,"['realid', 'us aviation system', 'major pillar', 'national economy']",R,Arizona
591,RepDLesko, THEN Show me your values show me your budget NOW House Democrats haven t produced a budget proposal,0.0,"['then', 'now', 'haven t', 'budget proposal']",R,Arizona
592,RepDLesko,I introduced legislation to hire an additional 100 immigration judges to reduce the asylum backlog I m grateful for the support of GEAR Task Force Chair Rep Gianforte amp Chairman for their support to increase efficiency in our immigration courts,0.0,"['immigration judges', 'asylum backlog', 'gear', 'task force', 'chair rep gianforte', 'amp chairman', 'immigration courts']",R,Arizona
593,RepDLesko, our immigration courts are overloaded and legitimate asylum claims languish amidst frivolous claims t,0.0,"['immigration courts', 'legitimate asylum claims languish amidst frivolous claims t']",R,Arizona
594,RepDLesko,Thanks to aspiring pilots can get on the fast track through its Aviate pilot recruitment and development program and the United Aviate Academy in Phoenix unitedairlines Aviate,0.2,"['thanks', 'fast track', 'aviate', 'pilot recruitment', 'development program', 'aviate', 'phoenix', 'aviate']",R,Arizona
595,RepGregStanton, Great communities invest in great infrastructure said NewDem in his op ed in where he hi,0.8,"['great communities invest', 'great infrastructure', 'newdem']",D,Arizona
596,RepGregStanton,Everyone can help end the addiction stigma Kathryn Burgum shared with our Freshman Working Group on Addiction her inspiring recovery story and she challenged us to talk to 3 people about how addition impacted their lives I plan to take that challenge will you too,0.5,"['everyone', 'addiction stigma', 'kathryn burgum', 'freshman working', 'addiction', 'recovery story']",D,Arizona
597,RepGregStanton,We need to ensure more Arizonans have quality affordable health care Trump s latest attack on the ACA does the opposite and could harm Medicaid coverage for millions I voted to oppose his short sighted efforts and will keep fighting for health care access for everyone,0.25,"['arizonans', 'affordable health care', 'trump', 'aca', 'medicaid', 'health care access']",D,Arizona
598,RepGregStanton,The federal government has a trust responsibility to tribal nations which includes providing the resources necessary to meet transportation needs in Native communities More about today s hearing on the infrastructure needs of tribes,0.25,"['federal government', 'trust responsibility', 'tribal nations', 'transportation needs', 'native', 's hearing', 'infrastructure needs']",D,Arizona
599,RepGregStanton,On Feb 7 will host Chandler s Black History Rooted in Faith Anchored in Hope The event will include presentations on significant individuals and historic events multi media storytelling dance performances and live music celebrating the Black community,0.03560606060606061,"['feb', 'chandler', 'black history rooted', 'faith anchored', 'hope', 'significant individuals', 'historic events multi media', 'dance performances', 'black']",D,Arizona
600,RepLaMalfa,NEPA amp ESA are big government at its best Congress should be in the business of addressing inefficiency in government amp holding the bureaucracy more accountable,0.5,"['nepa', 'esa', 'big government', 'congress', 'government amp']",R,California
601,RepLaMalfa, America s forests provide bountiful resources for our entire nation Thank you Chief Vicki Christiansen,0.0,"['america', 's forests', 'bountiful resources', 'entire nation', 'thank', 'vicki christiansen']",R,California
602,RepLaMalfa,After 4 months of political gamesmanship the outcome is as we expected is ACQUITTED Democrats must once and for all face the music the results of the 2016 election can t be changed Now it s time to get back to work,-0.03333333333333333,"['political gamesmanship', 'acquitted', 's time']",R,California
603,RepLaMalfa,The United States should be a sanctuary for law abiding citizens not illegal aliens Thank you Mr President Sanctuary cities violate our laws and have no place in our society,0.25,"['illegal aliens', 'thank', 'mr', 'president sanctuary cities']",R,California
604,RepLaMalfa,America will never be a socialist country SOTU2020,0.0,"['america', 'socialist country', 'sotu2020']",R,California
605,RepHuffman,Tune in,0.0,[],D,California
606,RepHuffman, A huge thank you to for talking with FFRF Co President and other SecularLeaders to discuss how the C,0.13750000000000004,"['ffrf co', 'secularleaders']",D,California
607,RepHuffman,Did you know plastic never really goes away It breaks down into microscopic pieces amp pollutes waterways oceans and the food chain We need to protect our planet which is why I m an original cosponsor of and s bill to BreakFreeFromPlastics,0.0398148148148148,"['microscopic pieces amp pollutes waterways oceans', 'food chain', 'original cosponsor', 's bill', 'breakfreefromplastics']",D,California
608,RepHuffman,This funding for long overdue maintenance of the Petaluma River and San Rafael Canal is a major win for our community Couldn t be happier about this news,0.2708333333333333,"['long overdue maintenance', 'petaluma', 'san rafael', 'couldn']",D,California
609,RepHuffman,The list of FUTURE Drought Resiliency Act supporters is growing Not too late to add your name to those who support investing in resilient water infrastructure and creating sustainable water solutions for the future,-0.09999999999999999,"['future drought resiliency', 'act supporters', 'resilient water infrastructure', 'sustainable water solutions']",D,California
610,RepGaramendi,I ll be breaking down the news of the day on at 9 20 am ET 6 20 am PT today,-0.15555555555555559,"['et', 'pt']",D,California
611,RepGaramendi,President Trump s 2021 budget proposal is a series of broken promises He promised not to touch your Social Security Medicare or Medicaid benefits but his budget includes 1 5 trillion in cuts to those programs I ll be discussing this on at 4 pm ET today,-0.18333333333333335,"['trump', 'budget proposal', 'social security', 'medicare', 'medicaid', 'et']",D,California
612,RepGaramendi,President Trump said he wouldn t touch your Social Security Medicare or Medicaid benefits and then proposed a budget that would cut 1 5 trillion from those same programs I oppose cuts to these critical earned benefits,0.011111111111111112,"['trump', 'wouldn t touch', 'social security', 'medicare', 'medicaid']",D,California
613,RepGaramendi, Many residents are bringing up John Garamendi s 2016 plan and urging it to be considered as an alternative We agree t,0.5,['john garamendi'],D,California
614,RepGaramendi,REALITY President Trump s 2021 budget proposal includes 500 billion in cuts to Medicare and 24 billion from Social Security CITATION,0.03333333333333333,"['reality', 'trump', 'budget proposal', 'medicare', 'social security', 'citation']",D,California
615,RepMcClintock,Lost amidst the tumult of the last several weeks was the quiet passing of an outspoken leader of California H L Bill Richardson H L arrived in the California State Senate with the freshman class of 1966 part of the Reagan landslide that year,0.0,"['lost', 'outspoken leader', 'california h', 'bill richardson h', 'california', 'state senate', 'freshman class', 'reagan']",R,California
616,RepMcClintock,The Senate restored the vision of the American founders that impeachment is only to be used for treason bribery or other High Crimes and Misdemeanors and not as a partisan weapon to settle political differences Rep McClintock on,0.007000000000000001,"['american founders', 'treason bribery', 'crimes', 'misdemeanors', 'partisan weapon', 'political differences', 'rep mcclintock']",R,California
